anio,mes,dia,titulo,descripcion
2022,5,11,Publicación Bitácora: Cuenta Satélite - Parte II,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-05-11-cst-parte2/"">📖 BITÁCORA</a> </li>"
2022,5,18,Censo Nacional 2022,https://www.censo.gob.ar/
2022,5,19,Publicación Bitácora: Microdatos EVyTH - Serie 2012-2021,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-05-16-evyth-serie-2012-2021/"">📖 BITÁCORA</a> </li>"
2022,5,26,Encuesta de ocupación hotelera (EOH) - Marzo de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,5,26,Publicación Bitácora: Fuentes de datos: EOH,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-05-24-intro-eoh/"">📖 BITÁCORA</a> </li>"
2022,5,31,Publicación Bitácora: Fuentes de datos: Turismo Internacional,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-05-31-intro-eti/"">📖 BITÁCORA</a> </li>"
2022,6,2,Reporte MULC - Abril de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,6,7,Publicación Bitácora: Fuentes de datos: EVyTH,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-06-06-intro-evyth/"">📖 BITÁCORA</a> </li>"
2022,6,8,Estadísticas de turismo internacional (ETI) - Abril de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,6,23,Encuesta de ocupación hotelera (EOH) - Abril de 2022,"<li><a href=""https://www.yvera.tur.ar/estadistica/informe/info/encuesta-de-ocupacion-hotelera-eoh"">🔗 Informe</a></li>
<li><a href=""https://tableros.yvera.tur.ar/eoh.html"">💻 Reporte</a></li>
<li><a href=""https://datos.yvera.gob.ar/dataset?groups=sector-hotelero"">📖 Datos Abiertos></a></li>"
2022,6,28,Publicación Bitácora: MapeAr,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-06-28-mapear/"">📖 BITÁCORA</a> </li>"
2022,7,4,Encuesta de Viajes y Turismo de los Hogares (EVyTH) - I trimestre de 2022,"<li><a href=""https://datos.yvera.gob.ar/dataset/encuesta-de-viajes-y-turismo-de-los-hogares-evyth-microdatos"">📖 Datos Abiertos</a> </li>
<li><a href=""https://tableros.yvera.tur.ar/interno.html"">💻 Reportes</a> </li>"
2022,7,4,Reporte MULC - Mayo de 2022,"<li><a href=""https://tableros.yvera.tur.ar/mulc.html"">💻 Reporte</a></li>"
2022,7,12,Estadísticas de turismo internacional (ETI) - Mayo de 2022,"<li><a href=""https://tableros.yvera.tur.ar/internacional.html"">💻 Reporte</a></li>
<li><a href=""https://tableros.yvera.tur.ar/turismo_internacional/"">👨🏻‍💻 Tablero</a> </li>
<li><a href=""http://datos.yvera.gob.ar/dataset?groups=turismo-internacional"">📖 Datos Abiertos</a> </li>"
2022,7,18,Publicación Bitácora: {herramientas} para el procesamiento de datos y {comunicacion} de la DNMyE,"<li><a href=""https://bitacora.yvera.tur.ar/posts/2022-07-18-dnmye-paquetes/"">📖 BITÁCORA</a></li>"
